language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\106\ExecutionsExp7Run4\08-22-2024_16h09m52s\JavaToC#.cs,JavaToC#.cs,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
C,./Projects/HumanEvalX\106\ExecutionsExp7Run4\08-22-2024_16h09m52s\JavaToC.c,JavaToC.c,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
C,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 1, 2, -2, 3, 4, 5]]",6,0
Haskell,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-1, -2, 0]]",0,2
C++,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\JavaToC++.c++,JavaToC++.c++,0,"[[12, 23, 34, -45, -56, 0]]",5,3
C,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\JavaToC.c,JavaToC.c,0,"[[-1, -2, 0]]",0,2
Pascal,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\JavaToPascal.pas,JavaToPascal.pas,0,"[[12, 23, 34, -45, -56, 0]]",5,3
C++,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\PythonToC++.c++,PythonToC++.c++,0,"[[12, 23, 34, -45, -56, 0]]",5,3
Haskell,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[12, 23, 34, -45, -56, 0]]",5,3
Java,./Projects/HumanEvalX\108\ExecutionsExp7Run4\08-22-2024_16h17m38s\PythonToJava.java,PythonToJava.java,0,[[]],0,Invalid input.
JavaScript,./Projects/HumanEvalX\109\ExecutionsExp7Run4\08-22-2024_16h25m30s\C++ToJavascript.js,C++ToJavascript.js,0,"[[3, 4, 5, 1, 2]]",True,False
Haskell,./Projects/HumanEvalX\109\ExecutionsExp7Run4\08-22-2024_16h25m30s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[3, 4, 5, 1, 2]]",True,"[True, True, False, False, True]"
Java,./Projects/HumanEvalX\109\ExecutionsExp7Run4\08-22-2024_16h25m30s\PythonToJava.java,PythonToJava.java,0,"[[4, 3, 1, 2]]",False,True
Java,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3, 4], [1, 2, 3, 4]]",YES,NO
C,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3, 4], [1, 5, 3, 4]]",NO,YES
Pascal,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3, 4], [1, 5, 3, 4]]",NO,YES
C++,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3, 4], [1, 5, 3, 4]]",NO,YES
C,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\PythonToC.c,PythonToC.c,1,"[[1, 2, 3, 4], [1, 2, 3, 4]]",YES,Insufficient arguments
Pascal,./Projects/HumanEvalX\110\ExecutionsExp7Run4\08-22-2024_16h40m56s\PythonToPascal.pas,PythonToPascal.pas,0,"[[1, 2, 3, 4], [1, 5, 3, 4]]",NO,YES
C,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\C++ToC.c,C++ToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
Haskell,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\C++ToHaskell.hs,C++ToHaskell.hs,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],"['the number of odd elements 4n the str4ng 4 of the 4nput.', 'the number of odd elements 1n the str1ng 1 of the 1nput.', 'the number of odd elements 8n the str8ng 8 of the 8nput.']"
C++,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\JavascriptToC++.c++,JavascriptToC++.c++,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],the number of odd elements 4n the str4ng 4 of the 4nput.
C,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\JavascriptToC.c,JavascriptToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C++,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\PythonToC++.c++,PythonToC++.c++,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],the number of odd elements 7n the str7ng 7 of the 7nput.
C,./Projects/HumanEvalX\113\ExecutionsExp7Run4\08-22-2024_16h48m56s\PythonToC.c,PythonToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
Haskell,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
JavaScript,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\C++ToJavascript.js,C++ToJavascript.js,0,[[]],[],[0]
C++,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]","[0, 2, 4, 3, 5]"
Haskell,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]","[1, 2, 3, 4, 5]"
Java,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\JavascriptToJava.java,JavascriptToJava.java,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C#,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\PythonToC#.cs,PythonToC#.cs,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C++,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\PythonToC++.c++,PythonToC++.c++,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Java,./Projects/HumanEvalX\116\ExecutionsExp7Run4\08-22-2024_16h57m02s\PythonToJava.java,PythonToJava.java,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C#,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\JavascriptToC#.cs,JavascriptToC#.cs,0,['yogurt'],u,g
C++,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\JavascriptToC++.c++,JavascriptToC++.c++,0,['yogurt'],u,
C,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\JavascriptToC.c,JavascriptToC.c,0,['yogurt'],u,
Java,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\JavascriptToJava.java,JavascriptToJava.java,0,['yogurt'],u,g
Haskell,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\PythonToHaskell.hs,PythonToHaskell.hs,0,['yogurt'],u,o
Pascal,./Projects/HumanEvalX\118\ExecutionsExp7Run4\08-22-2024_17h04m54s\PythonToPascal.pas,PythonToPascal.pas,0,['ali'],,a
C,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\C++ToC.c,C++ToC.c,0,"[[')', ')']]",No,Yes
Pascal,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\C++ToPascal.pas,C++ToPascal.pas,0,"[[')())', '(()()(']]",Yes,No
Python,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\C++ToPython.py,C++ToPython.py,0,"[['()(', ')']]",Yes,No
C,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\JavascriptToC.c,JavascriptToC.c,0,"[['()(', ')']]",Yes,No
C++,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\JavaToC++.c++,JavaToC++.c++,0,"[['()(', ')']]",Yes,No
C,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\JavaToC.c,JavaToC.c,1,"[['()(', ')']]",Yes,Usage: ./program <list1> <list2>
C,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\PythonToC.c,PythonToC.c,1,"[['()(', ')']]",Yes,Usage: ./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\outputC <string1> <string2>
Java,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\PythonToJava.java,PythonToJava.java,0,"[['()(', ')']]",Yes,No
Pascal,./Projects/HumanEvalX\119\ExecutionsExp7Run4\08-22-2024_17h12m43s\PythonToPascal.pas,PythonToPascal.pas,0,"[[')', ')']]",No,Yes
Haskell,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","[5, -3, -4]"
JavaScript,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3, -23, 243, -400, 0], 0]",[],"[-400, -23, 0, 1, 2, 3, 243]"
Python,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\C++ToPython.py,C++ToPython.py,0,"[[1, 2, 3, -23, 243, -400, 0], 0]",[],"[-400, -23, 0, 1, 2, 3, 243]"
C,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\JavascriptToC.c,JavascriptToC.c,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","(-4, -3, 5)"
Haskell,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","[5, -3, -4]"
Python,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\JavascriptToPython.py,JavascriptToPython.py,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","[-3, 5]"
Haskell,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","[5, -3, -4]"
C++,./Projects/HumanEvalX\120\ExecutionsExp7Run4\08-22-2024_17h20m04s\PythonToC++.c++,PythonToC++.c++,3,"[[-3, -4, 5], 3]","[-4, -3, 5]",
Haskell,./Projects/HumanEvalX\121\ExecutionsExp7Run4\08-22-2024_17h27m44s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[3, 3, 3, 3, 3]]",9,6
C,./Projects/HumanEvalX\121\ExecutionsExp7Run4\08-22-2024_17h27m44s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[5, 8, 7, 1]]",12,
Pascal,./Projects/HumanEvalX\121\ExecutionsExp7Run4\08-22-2024_17h27m44s\PythonToPascal.pas,PythonToPascal.pas,0,"[[30, 13, 23, 32]]",23,0
C,./Projects/HumanEvalX\122\ExecutionsExp7Run4\08-22-2024_17h35m04s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, -2, -3, 41, 57, 76, 87, 88, 99], 3]",-4,
JavaScript,./Projects/HumanEvalX\122\ExecutionsExp7Run4\08-22-2024_17h35m04s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, -2, -3, 41, 57, 76, 87, 88, 99], 3]",-4,
C,./Projects/HumanEvalX\122\ExecutionsExp7Run4\08-22-2024_17h35m04s\PythonToC.c,PythonToC.c,0,"[[111, 121, 3, 4000, 5, 6], 2]",0,-1
C#,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\JavascriptToC#.cs,JavascriptToC#.cs,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
C++,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\JavascriptToC++.c++,JavascriptToC++.c++,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
C,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\JavascriptToC.c,JavascriptToC.c,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
Pascal,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
C++,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\JavaToC++.c++,JavaToC++.c++,0,[14],"[1, 5, 7, 11, 13, 17]",1 5 7 11 13 17
Haskell,./Projects/HumanEvalX\123\ExecutionsExp7Run4\08-22-2024_17h42m52s\PythonToHaskell.hs,PythonToHaskell.hs,0,[14],"[1, 5, 7, 11, 13, 17]","[5, 7, 11, 13, 17]"
C,./Projects/HumanEvalX\124\ExecutionsExp7Run4\08-22-2024_17h49m54s\JavascriptToC.c,JavascriptToC.c,0,['04-2003'],False,True
Haskell,./Projects/HumanEvalX\124\ExecutionsExp7Run4\08-22-2024_17h49m54s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,['03-11-2000'],True,False
Pascal,./Projects/HumanEvalX\124\ExecutionsExp7Run4\08-22-2024_17h49m54s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,['03-11-2000'],True,FALSE
JavaScript,./Projects/HumanEvalX\124\ExecutionsExp7Run4\08-22-2024_17h49m54s\JavaToJavascript.js,JavaToJavascript.js,0,['04-0-2040'],False,True
Pascal,./Projects/HumanEvalX\124\ExecutionsExp7Run4\08-22-2024_17h49m54s\PythonToPascal.pas,PythonToPascal.pas,0,['03-11-2000'],True,TRUE
JavaScript,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3, 4, 5]]",True,False
C++,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 3, 2, 4, 5]]",False,True
C++,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\JavaToC++.c++,JavaToC++.c++,0,[[5]],True,False
C,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\JavaToC.c,JavaToC.c,0,[[5]],True,False
C,./Projects/HumanEvalX\126\ExecutionsExp7Run4\08-22-2024_17h57m25s\PythonToC.c,PythonToC.c,0,"[[1, 3, 2, 4, 5]]",False,True
