language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\JavaToC++.c++,JavaToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h13m46s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,Error parsing JSON input
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,Error parsing arguments.
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,4
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h13m46s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,Enter input:
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
