language,File Path,JavascriptToPascal.pas,returncode,input,Expected,actualy
Pascal,./Projects/HumanEvalX\152\ExecutionsExp20Run1\01-13-2026_05h44m15s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[0, 5, 0, 0, 0, 4], [4, 1, 1, 0, 0, -2]]","[4, 4, 1, 0, 0, 6]","[0, 0, 0, 0, 3, 3]"
C++,./Projects/HumanEvalX\153\ExecutionsExp20Run1\01-13-2026_05h46m39s\JavascriptToC++.c++,JavascriptToC++.c++,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi. 'eIGHt8OKe']
Pascal,./Projects/HumanEvalX\153\ExecutionsExp20Run1\01-13-2026_05h46m39s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"['Boku123', ['nani', 'NazeDa', 'YEs.WeCaNe', '32145tggg']]",Boku123.YEs.WeCaNe,Watashi.eIGHt8OKe
Haskell,./Projects/HumanEvalX\153\ExecutionsExp20Run1\01-13-2026_05h46m39s\JavaToHaskell.hs,JavaToHaskell.hs,0,"['__HAHA', ['Tab', '123', '781345', '-_-']]",__HAHA.123,__HAHA.-_-
Pascal,./Projects/HumanEvalX\17\ExecutionsExp20Run1\01-13-2026_06h01m35s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[''],[],
C#,./Projects/HumanEvalX\2\ExecutionsExp20Run1\01-13-2026_11h17m32s\JavaToC#.cs,JavaToC#.cs,0,[3.5],0.5,"(0, 5)"
C#,./Projects/HumanEvalX\20\ExecutionsExp20Run1\01-13-2026_11h18m43s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[3, 9, 4]"
C#,./Projects/HumanEvalX\21\ExecutionsExp20Run1\01-13-2026_11h21m24s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.0, 4.0, 5.0]]","[0.0, 0.25, 0.5, 0.75, 1.0]","[0.0, 0.3, 0.5, 0.8, 1.0]"
Pascal,./Projects/HumanEvalX\21\ExecutionsExp20Run1\01-13-2026_11h21m24s\C++ToPascal.pas,C++ToPascal.pas,0,"[[2.0, 49.9]]","[0.0, 1.0]","[0, 0]"
C++,./Projects/HumanEvalX\21\ExecutionsExp20Run1\01-13-2026_11h21m24s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[2.0, 49.9]]","[0.0, 1.0]","(0, 1)"
C,./Projects/HumanEvalX\21\ExecutionsExp20Run1\01-13-2026_11h21m24s\JavascriptToC.c,JavascriptToC.c,0,"[[1.0, 2.0, 3.0, 4.0, 5.0]]","[0.0, 0.25, 0.5, 0.75, 1.0]","[0.0, 0.3, 0.5, 0.8, 1.0]"
Pascal,./Projects/HumanEvalX\21\ExecutionsExp20Run1\01-13-2026_11h21m24s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[2.0, 49.9]]","[0.0, 1.0]","Error: ""[2.0, 49.9]"" is an invalid float"
C,./Projects/HumanEvalX\28\ExecutionsExp20Run1\01-13-2026_11h32m10s\JavascriptToC.c,JavascriptToC.c,0,"[['x', 'y', 'z']]",xyz,"['x', 'y', 'z']"
C,./Projects/HumanEvalX\29\ExecutionsExp20Run1\01-13-2026_11h34m59s\PythonToC.c,PythonToC.c,0,"[[], 'john']",[],['']
C#,./Projects/HumanEvalX\4\ExecutionsExp20Run1\01-13-2026_11h54m27s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,0.00033333333333340764
C#,./Projects/HumanEvalX\4\ExecutionsExp20Run1\01-13-2026_11h54m27s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,"(0, 666666666666667)"
C,./Projects/HumanEvalX\4\ExecutionsExp20Run1\01-13-2026_11h54m27s\JavascriptToC.c,JavascriptToC.c,0,"[[1.0, 2.0, 3.0]]",1e-06,0.033333333333333326
Pascal,./Projects/HumanEvalX\47\ExecutionsExp20Run1\01-13-2026_12h09m49s\C++ToPascal.pas,C++ToPascal.pas,0,"[[6, 5]]",5.5,"(5, 5)"
C#,./Projects/HumanEvalX\47\ExecutionsExp20Run1\01-13-2026_12h09m49s\JavaToC#.cs,JavaToC#.cs,0,"[[6, 5]]",5.5,"(5, 5)"
Pascal,./Projects/HumanEvalX\62\ExecutionsExp20Run1\01-13-2026_12h35m38s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[3, 1, 2, 4, 5]]","[1, 4, 12, 20]","(1, 4, 12, 20)"
Pascal,./Projects/HumanEvalX\7\ExecutionsExp20Run1\01-13-2026_13h39m48s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']","[xxx,xxxAAA,xxx]"
C#,./Projects/HumanEvalX\71\ExecutionsExp20Run1\01-13-2026_13h47m20s\C++ToC#.cs,C++ToC#.cs,0,"[4, 8, 5]",0.01,0.019999999999999574
Pascal,./Projects/HumanEvalX\71\ExecutionsExp20Run1\01-13-2026_13h47m20s\C++ToPascal.pas,C++ToPascal.pas,0,"[4, 8, 5]",0.01,0.019999999999999574
Pascal,./Projects/HumanEvalX\71\ExecutionsExp20Run1\01-13-2026_13h47m20s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[3, 4, 5]",6.0,"(6, 0)"
Pascal,./Projects/HumanEvalX\74\ExecutionsExp20Run1\01-13-2026_13h52m19s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']","['', '""hi']"
Haskell,./Projects/HumanEvalX\74\ExecutionsExp20Run1\01-13-2026_13h52m19s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']",[]
Pascal,./Projects/HumanEvalX\74\ExecutionsExp20Run1\01-13-2026_13h52m19s\PythonToPascal.pas,PythonToPascal.pas,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']",[]
JavaScript,./Projects/HumanEvalX\9\ExecutionsExp20Run1\01-13-2026_14h28m52s\JavaToJavascript.js,JavaToJavascript.js,0,[[]],[],
