language,File Path,C++ToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX\145\ExecutionsExp5Run1\08-15-2024_23h42m40s\JavaToC.c,JavaToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C,./Projects/HumanEvalX\145\ExecutionsExp5Run1\08-15-2024_23h42m40s\PythonToC.c,PythonToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C,./Projects/HumanEvalX\3\ExecutionsExp5Run1\08-16-2024_00h24m35s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, -3, 1, 2, -3]]",False,
C,./Projects/HumanEvalX\3\ExecutionsExp5Run1\08-16-2024_00h24m35s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, -3, 1, 2, -3]]",False,
C,./Projects/HumanEvalX\110\ExecutionsExp5Run1\08-15-2024_22h59m12s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3, 4], [1, 2, 3, 4]]",YES,NO
C,./Projects/HumanEvalX\110\ExecutionsExp5Run1\08-15-2024_22h59m12s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3, 4], [1, 5, 3, 4]]",NO,YES
C,./Projects/HumanEvalX\26\ExecutionsExp5Run1\08-16-2024_00h19m08s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3, 4]]","[1, 2, 3, 4]",
C,./Projects/HumanEvalX\70\ExecutionsExp5Run1\08-16-2024_01h07m03s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3, 4]]","[1, 4, 2, 3]",
C,./Projects/HumanEvalX\70\ExecutionsExp5Run1\08-16-2024_01h07m03s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3, 4]]","[1, 4, 2, 3]","[1, 4, 3, 504]"
C,./Projects/HumanEvalX\73\ExecutionsExp5Run1\08-16-2024_01h09m56s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3, 5, 4, 7, 9, 6]]",4,
C,./Projects/HumanEvalX\73\ExecutionsExp5Run1\08-16-2024_01h09m56s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3, 5, 4, 7, 9, 6]]",4,0
C,./Projects/HumanEvalX\152\ExecutionsExp5Run1\08-15-2024_23h53m36s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3], [-1, -2, -3]]","[2, 4, 6]","[2, 4, 6, 0, 2131272248, 712]"
C,./Projects/HumanEvalX\133\ExecutionsExp5Run1\08-15-2024_23h27m35s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",14,0
C,./Projects/HumanEvalX\133\ExecutionsExp5Run1\08-15-2024_23h27m35s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",14,
C,./Projects/HumanEvalX\133\ExecutionsExp5Run1\08-15-2024_23h27m35s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",14,
C,./Projects/HumanEvalX\142\ExecutionsExp5Run1\08-15-2024_23h39m15s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX\142\ExecutionsExp5Run1\08-15-2024_23h39m15s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX\35\ExecutionsExp5Run1\08-16-2024_00h29m49s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",3,0
C,./Projects/HumanEvalX\35\ExecutionsExp5Run1\08-16-2024_00h29m49s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",3,
C,./Projects/HumanEvalX\57\ExecutionsExp5Run1\08-16-2024_00h49m08s\JavaToC.c,JavaToC.c,0,"[[1, 2, 4, 10]]",True,False
C,./Projects/HumanEvalX\135\ExecutionsExp5Run1\08-15-2024_23h30m50s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 4, 3, 5]]",3,
C,./Projects/HumanEvalX\135\ExecutionsExp5Run1\08-15-2024_23h30m50s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 4, 3, 5]]",3,
C,./Projects/HumanEvalX\57\ExecutionsExp5Run1\08-16-2024_00h49m08s\PythonToC.c,PythonToC.c,0,"[[1, 20, 4, 10]]",False,True
C,./Projects/HumanEvalX\127\ExecutionsExp5Run1\08-15-2024_23h19m57s\PythonToC.c,PythonToC.c,1,"[[1, 2], [2, 3]]",NO,
C,./Projects/HumanEvalX\40\ExecutionsExp5Run1\08-16-2024_00h34m42s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 3, -2, 1]]",True,False
C,./Projects/HumanEvalX\40\ExecutionsExp5Run1\08-16-2024_00h34m42s\PythonToC.c,PythonToC.c,3221225477,"[[1, 3, 5, 0]]",False,
C,./Projects/HumanEvalX\43\ExecutionsExp5Run1\08-16-2024_00h38m11s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 3, 5, 0]]",False,
C,./Projects/HumanEvalX\43\ExecutionsExp5Run1\08-16-2024_00h38m11s\PythonToC.c,PythonToC.c,3221225477,"[[1, 3, 5, 0]]",False,
C,./Projects/HumanEvalX\58\ExecutionsExp5Run1\08-16-2024_00h50m34s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121]]","[1, 5, 653]",1 5 653
C,./Projects/HumanEvalX\116\ExecutionsExp5Run1\08-15-2024_23h03m31s\PythonToC.c,PythonToC.c,3221225477,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]",
C,./Projects/HumanEvalX\4\ExecutionsExp5Run1\08-16-2024_00h33m26s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1.0, 2.0, 3.0]]",1e-06,
C,./Projects/HumanEvalX\0\ExecutionsExp5Run1\08-15-2024_22h36m58s\JavaToC.c,JavaToC.c,3221225477,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3]",True,
C,./Projects/HumanEvalX\20\ExecutionsExp5Run1\08-16-2024_00h12m46s\JavaToC.c,JavaToC.c,3221225477,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]",
C,./Projects/HumanEvalX\0\ExecutionsExp5Run1\08-15-2024_22h36m58s\PythonToC.c,PythonToC.c,0,"[[1.0, 2.0, 5.9, 4.0, 5.0], 0.8]",False,True
C,./Projects/HumanEvalX\20\ExecutionsExp5Run1\08-16-2024_00h12m46s\JavascriptToC.c,JavascriptToC.c,0,"[[1.0, 2.0, 5.9, 4.0, 5.0]]","[5.0, 5.9]","[3.9, 4.0]"
C,./Projects/HumanEvalX\146\ExecutionsExp5Run1\08-15-2024_23h45m37s\JavascriptToC.c,JavascriptToC.c,0,"[[15, -73, 14, -15]]",1,0
C,./Projects/HumanEvalX\104\ExecutionsExp5Run1\08-15-2024_22h47m41s\JavascriptToC.c,JavascriptToC.c,0,"[[15, 33, 1422, 1]]","[1, 15, 33]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33]"
C,./Projects/HumanEvalX\105\ExecutionsExp5Run1\08-15-2024_22h49m47s\JavascriptToC.c,JavascriptToC.c,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","Eight, Five, Four, Three, Two, Two, One, One"
C,./Projects/HumanEvalX\105\ExecutionsExp5Run1\08-15-2024_22h49m47s\PythonToC.c,PythonToC.c,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","['Eight', 'Five', 'Four', 'Three', 'Two', 'One', 'One']"
C,./Projects/HumanEvalX\21\ExecutionsExp5Run1\08-16-2024_00h14m41s\JavascriptToC.c,JavascriptToC.c,0,"[[2.0, 49.9]]","[0.0, 1.0]","(0.0, 1.0)"
C,./Projects/HumanEvalX\21\ExecutionsExp5Run1\08-16-2024_00h14m41s\PythonToC.c,PythonToC.c,3221225477,"[[2.0, 49.9]]","[0.0, 1.0]",
C,./Projects/HumanEvalX\47\ExecutionsExp5Run1\08-16-2024_00h41m27s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[3, 1, 2, 4, 5]]",3,
C,./Projects/HumanEvalX\47\ExecutionsExp5Run1\08-16-2024_00h41m27s\JavaToC.c,JavaToC.c,3221225477,"[[3, 1, 2, 4, 5]]",3,
C,./Projects/HumanEvalX\62\ExecutionsExp5Run1\08-16-2024_00h55m26s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[3, 1, 2, 4, 5]]","[1, 4, 12, 20]",
C,./Projects/HumanEvalX\62\ExecutionsExp5Run1\08-16-2024_00h55m26s\PythonToC.c,PythonToC.c,0,"[[3, 1, 2, 4, 5]]","[1, 4, 12, 20]",
C,./Projects/HumanEvalX\42\ExecutionsExp5Run1\08-16-2024_00h36m48s\JavascriptToC.c,JavascriptToC.c,0,"[[3, 2, 1]]","[4, 3, 2]",[]
C,./Projects/HumanEvalX\109\ExecutionsExp5Run1\08-15-2024_22h55m50s\JavascriptToC.c,JavascriptToC.c,0,"[[3, 4, 5, 1, 2]]",True,"True
True
False
False
True"
C,./Projects/HumanEvalX\57\ExecutionsExp5Run1\08-16-2024_00h49m08s\JavascriptToC.c,JavascriptToC.c,0,"[[4, 1, 0, -10]]",True,False
C,./Projects/HumanEvalX\68\ExecutionsExp5Run1\08-16-2024_01h02m01s\PythonToC.c,PythonToC.c,0,"[[4, 2, 3]]","[2, 1]",[]
C,./Projects/HumanEvalX\85\ExecutionsExp5Run1\08-16-2024_01h24m01s\JavascriptToC.c,JavascriptToC.c,0,"[[4, 88]]",88,0
C,./Projects/HumanEvalX\85\ExecutionsExp5Run1\08-16-2024_01h24m01s\PythonToC.c,PythonToC.c,0,"[[4, 88]]",88,534
C,./Projects/HumanEvalX\81\ExecutionsExp5Run1\08-16-2024_01h18m46s\JavascriptToC.c,JavascriptToC.c,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']","['A+', 'B', 'C', 'C', 'A-']"
C,./Projects/HumanEvalX\81\ExecutionsExp5Run1\08-16-2024_01h18m46s\PythonToC.c,PythonToC.c,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']",A+ B C C A-
C,./Projects/HumanEvalX\146\ExecutionsExp5Run1\08-15-2024_23h45m37s\PythonToC.c,PythonToC.c,0,"[[5, -2, 1, -5]]",0,1
C,./Projects/HumanEvalX\42\ExecutionsExp5Run1\08-16-2024_00h36m48s\PythonToC.c,PythonToC.c,0,"[[5, 2, 5, 2, 3, 3, 9, 0, 123]]","[6, 3, 6, 3, 4, 4, 10, 1, 124]","[4, 3, 2]"
C,./Projects/HumanEvalX\69\ExecutionsExp5Run1\08-16-2024_01h03m45s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[5, 5, 5, 5, 1]]",1,
C,./Projects/HumanEvalX\69\ExecutionsExp5Run1\08-16-2024_01h03m45s\PythonToC.c,PythonToC.c,3221225477,"[[5, 5, 5, 5, 1]]",1,
