language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
Haskell,./Projects/HumanEvalX\39\ExecutionsExp14Run1\03-29-2025_16h06m07s\JavaToHaskell.hs,JavaToHaskell.hs,0,[1],2,3
C#,./Projects/HumanEvalX\4\ExecutionsExp14Run1\03-29-2025_16h08m13s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,"(6, 666667.0)"
C#,./Projects/HumanEvalX\4\ExecutionsExp14Run1\03-29-2025_16h08m13s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,"(6, 6667.0)"
C,./Projects/HumanEvalX\40\ExecutionsExp14Run1\03-29-2025_16h10m45s\PythonToC.c,PythonToC.c,0,"[[1, 3, -2, 1]]",True,False
Haskell,./Projects/HumanEvalX\40\ExecutionsExp14Run1\03-29-2025_16h10m45s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 3, 5, 0]]",False,Invalid input format
C#,./Projects/HumanEvalX\45\ExecutionsExp14Run1\03-29-2025_16h19m30s\C++ToC#.cs,C++ToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\45\ExecutionsExp14Run1\03-29-2025_16h19m30s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\45\ExecutionsExp14Run1\03-29-2025_16h19m30s\JavaToC#.cs,JavaToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\45\ExecutionsExp14Run1\03-29-2025_16h19m30s\PythonToC#.cs,PythonToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
Haskell,./Projects/HumanEvalX\46\ExecutionsExp14Run1\03-29-2025_16h20m39s\PythonToHaskell.hs,PythonToHaskell.hs,0,[5],4,2
C#,./Projects/HumanEvalX\47\ExecutionsExp14Run1\03-29-2025_16h22m22s\C++ToC#.cs,C++ToC#.cs,0,"[[6, 5]]",5.5,"(5, 5)"
C#,./Projects/HumanEvalX\47\ExecutionsExp14Run1\03-29-2025_16h22m22s\JavaToC#.cs,JavaToC#.cs,0,"[[6, 5]]",5.5,"(5, 5)"
Pascal,./Projects/HumanEvalX\58\ExecutionsExp14Run1\03-29-2025_16h38m13s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 4, 3, 34, 653, 2, 5], [5, 7, 1, 5, 9, 653, 121]]","[1, 5, 653]",[]
JavaScript,./Projects/HumanEvalX\68\ExecutionsExp14Run1\03-29-2025_16h57m25s\C++ToJavascript.js,C++ToJavascript.js,0,[[]],[],"[0, 0]"
Haskell,./Projects/HumanEvalX\69\ExecutionsExp14Run1\03-29-2025_17h00m37s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[5, 5, 5, 5, 1]]",1,Invalid input format
C++,./Projects/HumanEvalX\7\ExecutionsExp14Run1\03-29-2025_17h03m53s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']",[]
Java,./Projects/HumanEvalX\7\ExecutionsExp14Run1\03-29-2025_17h03m53s\JavascriptToJava.java,JavascriptToJava.java,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']","[xxx, xxxAAA, xxx]"
Haskell,./Projects/HumanEvalX\70\ExecutionsExp14Run1\03-29-2025_17h07m24s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[5, 5, 5, 5]]","[5, 5, 5, 5]",[5]
C#,./Projects/HumanEvalX\71\ExecutionsExp14Run1\03-29-2025_17h11m10s\C++ToC#.cs,C++ToC#.cs,0,"[3, 4, 5]",6.0,"(6, 0)"
Java,./Projects/HumanEvalX\71\ExecutionsExp14Run1\03-29-2025_17h11m10s\JavascriptToJava.java,JavascriptToJava.java,0,"[3, 4, 5]",6.0,"(6, 0)"
C#,./Projects/HumanEvalX\71\ExecutionsExp14Run1\03-29-2025_17h11m10s\JavaToC#.cs,JavaToC#.cs,0,"[4, 8, 5]",0.01,"(8, 18)"
C#,./Projects/HumanEvalX\71\ExecutionsExp14Run1\03-29-2025_17h11m10s\PythonToC#.cs,PythonToC#.cs,0,"[4, 8, 5]",0.01,"(8, 18)"
Haskell,./Projects/HumanEvalX\73\ExecutionsExp14Run1\03-29-2025_17h12m53s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3, 5, 4, 7, 9, 6]]",4,Invalid input format
C++,./Projects/HumanEvalX\74\ExecutionsExp14Run1\03-29-2025_17h15m17s\PythonToC++.c++,PythonToC++.c++,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']",[]
Haskell,./Projects/HumanEvalX\75\ExecutionsExp14Run1\03-29-2025_17h18m55s\C++ToHaskell.hs,C++ToHaskell.hs,0,[30],True,False
C++,./Projects/HumanEvalX\79\ExecutionsExp14Run1\03-29-2025_17h22m18s\JavaToC++.c++,JavaToC++.c++,3,[0],db0db,
C,./Projects/HumanEvalX\8\ExecutionsExp14Run1\03-29-2025_17h23m51s\PythonToC.c,PythonToC.c,1,[[]],"[0, 1]",Error parsing input or empty array
Pascal,./Projects/HumanEvalX\8\ExecutionsExp14Run1\03-29-2025_17h23m51s\PythonToPascal.pas,PythonToPascal.pas,0,"[[1, 1, 1]]","[3, 1]","[0, 1]"
C#,./Projects/HumanEvalX\81\ExecutionsExp14Run1\03-29-2025_17h28m04s\C++ToC#.cs,C++ToC#.cs,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']","['A+', 'B', 'A+', 'C', 'A+']"
C++,./Projects/HumanEvalX\81\ExecutionsExp14Run1\03-29-2025_17h28m04s\JavascriptToC++.c++,JavascriptToC++.c++,0,[[1.2]],['D+'],"['A+', 'B', 'C-', 'C', 'A-']"
C#,./Projects/HumanEvalX\81\ExecutionsExp14Run1\03-29-2025_17h28m04s\JavaToC#.cs,JavaToC#.cs,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']","['A', 'B', 'A', 'C', 'A']"
C++,./Projects/HumanEvalX\85\ExecutionsExp14Run1\03-29-2025_17h36m45s\PythonToC++.c++,PythonToC++.c++,0,"[[4, 88]]",88,0
Haskell,./Projects/HumanEvalX\91\ExecutionsExp14Run1\03-29-2025_17h49m17s\C++ToHaskell.hs,C++ToHaskell.hs,0,['Is the sky blue?'],0,1
Haskell,./Projects/HumanEvalX\96\ExecutionsExp14Run1\03-29-2025_17h56m02s\C++ToHaskell.hs,C++ToHaskell.hs,0,[5],"[2, 3]","[2, 3, 4]"
Pascal,./Projects/HumanEvalX\98\ExecutionsExp14Run1\03-29-2025_17h58m12s\C++ToPascal.pas,C++ToPascal.pas,0,['U'],1,0
C#,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToC#.cs,C++ToC#.cs,0,['14.5'],15,14
Haskell,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToHaskell.hs,C++ToHaskell.hs,0,['14.5'],15,14
Java,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToJava.java,C++ToJava.java,0,['-15.5'],-16,-15
JavaScript,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToJavascript.js,C++ToJavascript.js,0,['-15.5'],-16,-15
Pascal,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToPascal.pas,C++ToPascal.pas,0,['14.5'],15,14
Python,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\C++ToPython.py,C++ToPython.py,0,['14.5'],15,14
C#,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\JavascriptToC#.cs,JavascriptToC#.cs,0,['14.5'],15,145
Python,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\JavascriptToPython.py,JavascriptToPython.py,0,['-15.5'],-16,-17
C#,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\JavaToC#.cs,JavaToC#.cs,0,['14.5'],15,145
C#,./Projects/HumanEvalX\99\ExecutionsExp14Run1\03-29-2025_17h59m33s\PythonToC#.cs,PythonToC#.cs,0,['14.5'],15,145
